variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
ambiente_loja,17/08/2025,1440,1427,13,99.1,0.9,0,0,0,0,0,0
ambiente_loja,18/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
ambiente_loja,19/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
ambiente_loja,20/08/2025,1440,1438,2,99.86,0.14,0,0,0,0,0,0
ambiente_loja,21/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
ambiente_loja,22/08/2025,1440,1439,1,99.93,0.07,0,0,0,0,0,0
ambiente_loja,23/08/2025,1440,1436,4,99.72,0.28,0,0,0,0,0,0
ambiente_loja,24/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
ambiente_loja,25/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
ambiente_loja,26/08/2025,1440,1440,0,100.0,0.0,0,0,0,0,0,0
