timestamp,valor,datahora
1755431247533,-14.2,17/08/2025 08:47
1755431267261,-14.2,17/08/2025 08:47
1755433506279,-14.1,17/08/2025 09:25
1755441444248,-12.9,17/08/2025 11:37
1755444834264,-15.4,17/08/2025 12:33
1755519458272,-13.9,18/08/2025 09:17
1755519488280,-13.8,18/08/2025 09:18
1755522947313,-15.1,18/08/2025 10:15
1755528186165,-10.3,18/08/2025 11:43
1755528546241,-11.8,18/08/2025 11:49
1755529116285,-13.3,18/08/2025 11:58
1755529266423,-13.6,18/08/2025 12:01
1755530836419,-14.9,18/08/2025 12:27
1755536055380,-15.0,18/08/2025 13:54
1755537954301,-15.0,18/08/2025 14:25
1755541584464,0.7,18/08/2025 15:26
1755542663206,-12.2,18/08/2025 15:44
1755542813287,-12.8,18/08/2025 15:46
1755542814389,-12.8,18/08/2025 15:46
1755543153275,-13.8,18/08/2025 15:52
1755543183220,-13.8,18/08/2025 15:53
1755543423414,-14.6,18/08/2025 15:57
1755543513456,-14.3,18/08/2025 15:58
1755543543415,-14.3,18/08/2025 15:59
1755543933410,-14.4,18/08/2025 16:05
1755543993668,-14.5,18/08/2025 16:06
1755544053451,-14.6,18/08/2025 16:07
1755544173295,-14.6,18/08/2025 16:09
1755544233417,-14.6,18/08/2025 16:10
1755544743387,-15.1,18/08/2025 16:19
1755544923778,-15.1,18/08/2025 16:22
1755545583255,-15.4,18/08/2025 16:33
1755545983386,-15.4,18/08/2025 16:39
1755547902268,-15.3,18/08/2025 17:11
1755547992239,-15.6,18/08/2025 17:13
1755548142381,-15.3,18/08/2025 17:15
1755548472391,-15.6,18/08/2025 17:21
1755548562337,-15.6,18/08/2025 17:22
1755548622385,-15.4,18/08/2025 17:23
1755549132413,-14.8,18/08/2025 17:32
1755549162399,-14.7,18/08/2025 17:32
1755549192283,-14.8,18/08/2025 17:33
1755549432412,-14.7,18/08/2025 17:37
1755549462270,-14.7,18/08/2025 17:37
1755549792485,-15.0,18/08/2025 17:43
1755549912285,-15.0,18/08/2025 17:45
1755550002454,-15.1,18/08/2025 17:46
1755550122415,-15.2,18/08/2025 17:48
1755550152386,-15.2,18/08/2025 17:49
1755550422063,-15.7,18/08/2025 17:53
1755550512297,-15.7,18/08/2025 17:55
1755550602404,-15.8,18/08/2025 17:56
1755550662421,-15.7,18/08/2025 17:57
1755550782279,-15.3,18/08/2025 17:59
1755550902317,-15.1,18/08/2025 18:01
1755551142297,-15.2,18/08/2025 18:05
1755551172427,-15.2,18/08/2025 18:06
1755551292140,-15.3,18/08/2025 18:08
1755551322298,-15.3,18/08/2025 18:08
1755551592426,-15.7,18/08/2025 18:13
1755551832762,-15.5,18/08/2025 18:17
1755552011294,-15.1,18/08/2025 18:20
1755552221224,-15.0,18/08/2025 18:23
1755552681110,-15.6,18/08/2025 18:31
1755553191272,-12.7,18/08/2025 18:39
1755553551274,-9.7,18/08/2025 18:45
1755553671300,-8.8,18/08/2025 18:47
1755554511287,-1.9,18/08/2025 19:01
1755554541279,-1.8,18/08/2025 19:02
1755556311267,-3.1,18/08/2025 19:31
1755556401275,-4.2,18/08/2025 19:33
1755556820264,-8.4,18/08/2025 19:40
1755557000345,-10.0,18/08/2025 19:43
1755557060192,-10.3,18/08/2025 19:44
1755557150199,-11.0,18/08/2025 19:45
1755557510095,-13.0,18/08/2025 19:51
1755557660066,-13.6,18/08/2025 19:54
1755557720229,-13.9,18/08/2025 19:55
1755557750233,-14.0,18/08/2025 19:55
1755557810230,-14.2,18/08/2025 19:56
1755558110158,-15.0,18/08/2025 20:01
1755558230115,-14.7,18/08/2025 20:03
1755558320116,-14.7,18/08/2025 20:05
1755558350097,-14.8,18/08/2025 20:05
1755558440083,-14.9,18/08/2025 20:07
1755558590423,-15.3,18/08/2025 20:09
1755558650277,-15.3,18/08/2025 20:10
1755558680301,-15.2,18/08/2025 20:11
1755558710261,-15.1,18/08/2025 20:11
1755558800284,-14.9,18/08/2025 20:13
1755558830288,-14.8,18/08/2025 20:13
1755558860274,-15.0,18/08/2025 20:14
1755558890263,-14.8,18/08/2025 20:14
1755558980291,-15.1,18/08/2025 20:16
1755559040269,-15.2,18/08/2025 20:17
1755559100274,-15.2,18/08/2025 20:18
1755559160278,-15.3,18/08/2025 20:19
1755559190268,-15.2,18/08/2025 20:19
1755559250311,-15.0,18/08/2025 20:20
1755559310228,-14.9,18/08/2025 20:21
1755559430268,-14.9,18/08/2025 20:23
1755559490211,-15.1,18/08/2025 20:24
1755559520197,-15.0,18/08/2025 20:25
1755559550313,-15.1,18/08/2025 20:25
1755559610226,-15.2,18/08/2025 20:26
1755559730275,-15.1,18/08/2025 20:28
1755560000246,-14.9,18/08/2025 20:33
1755560090269,-15.2,18/08/2025 20:34
1755560370284,-14.7,18/08/2025 20:39
1755560460422,-14.8,18/08/2025 20:41
1755560550290,-15.0,18/08/2025 20:42
1755560700276,-15.1,18/08/2025 20:45
1755560730287,-15.0,18/08/2025 20:45
1755560760827,-14.9,18/08/2025 20:46
1755560820288,-14.7,18/08/2025 20:47
1755560850275,-14.8,18/08/2025 20:47
1755561000264,-14.9,18/08/2025 20:50
1755561120267,-15.1,18/08/2025 20:52
1755561150267,-15.3,18/08/2025 20:52
1755561330260,-14.7,18/08/2025 20:55
1755561420275,-14.5,18/08/2025 20:57
1755561809208,-14.8,18/08/2025 21:03
1755561929344,-14.6,18/08/2025 21:05
1755561930275,-14.6,18/08/2025 21:05
1755561959188,-14.7,18/08/2025 21:05
1755561989171,-14.7,18/08/2025 21:06
1755562049301,-14.8,18/08/2025 21:07
1755562050380,-14.8,18/08/2025 21:07
1755562229171,-15.2,18/08/2025 21:10
1755562379142,-14.8,18/08/2025 21:12
1755562589208,-14.8,18/08/2025 21:16
1755562679172,-15.0,18/08/2025 21:17
1755562769155,-15.2,18/08/2025 21:19
1755563159282,-14.8,18/08/2025 21:25
1755563339406,-15.0,18/08/2025 21:28
1755563699627,-14.8,18/08/2025 21:34
1755563819420,-15.1,18/08/2025 21:36
1755563909274,-15.0,18/08/2025 21:38
1755563999281,-14.7,18/08/2025 21:39
1755564149398,-14.5,18/08/2025 21:42
1755564299264,-15.0,18/08/2025 21:44
1755564449286,-14.8,18/08/2025 21:47
1755564719268,-14.7,18/08/2025 21:51
1755564839103,-14.8,18/08/2025 21:53
1755564899188,-14.8,18/08/2025 21:54
1755565019164,-14.5,18/08/2025 21:56
1755565289245,-14.9,18/08/2025 22:01
1755565889271,-14.8,18/08/2025 22:11
1755566099314,-14.2,18/08/2025 22:14
1755566249284,-14.3,18/08/2025 22:17
1755566309277,-14.4,18/08/2025 22:18
1755566938166,-14.8,18/08/2025 22:28
1755567028146,-14.4,18/08/2025 22:30
1755567418233,-14.4,18/08/2025 22:36
1755567688092,-12.4,18/08/2025 22:41
1755567818413,-11.6,18/08/2025 22:43
1755568178264,-9.0,18/08/2025 22:49
1755568448281,-6.8,18/08/2025 22:54
1755568688275,-5.0,18/08/2025 22:58
1755568868268,-3.6,18/08/2025 23:01
1755569708262,0.7,18/08/2025 23:15
1755570188282,2.7,18/08/2025 23:23
1755570458270,2.2,18/08/2025 23:27
1755570638263,-0.9,18/08/2025 23:30
1755570818275,-3.6,18/08/2025 23:33
1755571088261,-7.1,18/08/2025 23:38
1755571118264,-7.5,18/08/2025 23:38
1755571148252,-7.9,18/08/2025 23:39
1755571238266,-9.0,18/08/2025 23:40
