variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_congelado_calibrado,17/08/2025,1440,4,1436,0.28,99.72,5,37.0,1243.0,398.6,1993.0,2
balcao_congelado_calibrado,18/08/2025,1440,157,1283,10.9,89.1,9,25.0,1243.0,182.89,1646.0,1
balcao_congelado_calibrado,19/08/2025,1440,247,1193,17.15,82.85,12,21.0,1153.0,140.83,1690.0,3
balcao_congelado_calibrado,20/08/2025,1440,134,1306,9.31,90.69,8,21.0,1153.0,193.25,1546.0,1
balcao_congelado_calibrado,21/08/2025,1440,571,869,39.65,60.35,5,27.0,64.0,42.4,212.0,2
balcao_congelado_calibrado,22/08/2025,1440,697,743,48.4,51.6,8,22.0,66.0,41.38,331.0,1
balcao_congelado_calibrado,23/08/2025,1440,642,798,44.58,55.42,4,29.0,143.0,67.25,269.0,0
balcao_congelado_calibrado,24/08/2025,1440,956,484,66.39,33.61,3,28.0,63.0,47.0,141.0,2
balcao_congelado_calibrado,25/08/2025,1440,1326,114,92.08,7.92,1,34.0,34.0,34.0,34.0,0
balcao_congelado_calibrado,26/08/2025,1440,909,531,63.12,36.88,3,21.0,84.0,46.33,139.0,2
