variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_congelado,20/08/2025,288,286,2,99.31,0.69,0,0.0,0.0,0.0,0.0,0
balcao_congelado,21/08/2025,288,144,144,50.0,50.0,7,5.0,149.0,29.57,207.0,1
balcao_congelado,22/08/2025,288,53,235,18.4,81.6,8,5.0,149.0,42.38,339.0,5
balcao_congelado,23/08/2025,288,153,135,53.12,46.88,4,5.0,122.0,37.0,148.0,2
balcao_congelado,24/08/2025,288,171,117,59.38,40.62,8,6.0,20.0,10.62,85.0,1
balcao_congelado,25/08/2025,288,53,235,18.4,81.6,5,8.0,236.0,56.0,280.0,3
balcao_congelado,26/08/2025,288,64,224,22.22,77.78,7,6.0,236.0,61.71,432.0,2
balcao_congelado,27/08/2025,288,52,236,18.06,81.94,6,6.0,146.0,55.67,334.0,2
balcao_congelado,28/08/2025,288,142,146,49.31,50.69,5,5.0,142.0,33.4,167.0,1
balcao_congelado,29/08/2025,288,288,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0
balcao_congelado,30/08/2025,288,288,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0
balcao_congelado,31/08/2025,288,288,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0
