inicio_desconexao,fim_desconexao,duracao_minutos,periodo_critico_20h_08h
20/08/2025 00:00,20/08/2025 07:39,92,True
20/08/2025 20:00,21/08/2025 07:44,141,True
21/08/2025 07:50,21/08/2025 08:14,5,True
22/08/2025 15:25,22/08/2025 15:54,6,False
23/08/2025 20:10,23/08/2025 21:34,17,True
23/08/2025 21:40,23/08/2025 22:59,16,True
23/08/2025 23:20,24/08/2025 00:04,9,True
24/08/2025 00:10,24/08/2025 02:34,29,True
24/08/2025 03:05,24/08/2025 04:34,18,True
24/08/2025 05:20,24/08/2025 05:54,7,True
24/08/2025 06:00,24/08/2025 07:59,24,True
24/08/2025 13:15,24/08/2025 14:44,18,False
24/08/2025 14:50,25/08/2025 07:34,201,True
25/08/2025 13:00,26/08/2025 08:04,229,True
26/08/2025 13:25,26/08/2025 13:49,5,False
26/08/2025 19:05,26/08/2025 19:29,5,False
26/08/2025 20:00,27/08/2025 07:19,136,True
27/08/2025 08:25,27/08/2025 08:49,5,False
27/08/2025 12:30,27/08/2025 12:54,5,False
27/08/2025 20:00,28/08/2025 07:39,140,True
28/08/2025 07:45,28/08/2025 08:19,7,True
28/08/2025 12:25,28/08/2025 12:49,5,False
28/08/2025 15:20,28/08/2025 16:04,9,False
28/08/2025 20:10,29/08/2025 07:29,136,True
29/08/2025 14:50,29/08/2025 15:14,5,False
30/08/2025 12:35,30/08/2025 12:59,5,False
30/08/2025 20:00,31/08/2025 07:49,142,True
31/08/2025 13:00,31/08/2025 23:55,132,True
