variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_resfriado_1_calibrado,20/08/2025,288,91,197,31.6,68.4,2,92.0,141.0,116.5,233.0,2
balcao_resfriado_1_calibrado,21/08/2025,288,156,132,54.17,45.83,2,5.0,141.0,73.0,146.0,2
balcao_resfriado_1_calibrado,22/08/2025,288,243,45,84.38,15.62,1,6.0,6.0,6.0,6.0,0
balcao_resfriado_1_calibrado,23/08/2025,288,220,68,76.39,23.61,3,9.0,17.0,14.0,42.0,3
balcao_resfriado_1_calibrado,24/08/2025,288,66,222,22.92,77.08,7,7.0,201.0,43.71,306.0,6
balcao_resfriado_1_calibrado,25/08/2025,288,45,243,15.62,84.38,2,201.0,229.0,215.0,430.0,2
balcao_resfriado_1_calibrado,26/08/2025,288,76,212,26.39,73.61,4,5.0,229.0,93.75,375.0,2
balcao_resfriado_1_calibrado,27/08/2025,288,101,187,35.07,64.93,4,5.0,140.0,71.5,286.0,2
balcao_resfriado_1_calibrado,28/08/2025,288,86,202,29.86,70.14,5,5.0,140.0,59.4,297.0,3
balcao_resfriado_1_calibrado,29/08/2025,288,160,128,55.56,44.44,2,5.0,136.0,70.5,141.0,1
balcao_resfriado_1_calibrado,30/08/2025,288,204,84,70.83,29.17,2,5.0,142.0,73.5,147.0,1
balcao_resfriado_1_calibrado,31/08/2025,288,49,239,17.01,82.99,2,132.0,142.0,137.0,274.0,2
