inicio_desconexao,fim_desconexao,duracao_minutos,periodo_critico_20h_08h
21/08/2025 12:15,21/08/2025 12:44,6,False
22/08/2025 21:40,22/08/2025 22:14,7,True
22/08/2025 22:50,22/08/2025 23:14,5,True
23/08/2025 00:10,23/08/2025 00:44,7,True
25/08/2025 13:40,25/08/2025 14:14,7,False
25/08/2025 16:00,25/08/2025 17:44,21,False
25/08/2025 17:50,25/08/2025 18:29,8,False
25/08/2025 18:45,25/08/2025 19:29,9,False
25/08/2025 21:50,25/08/2025 23:04,15,True
25/08/2025 23:10,26/08/2025 00:19,14,True
26/08/2025 00:55,26/08/2025 01:39,9,True
26/08/2025 03:35,26/08/2025 03:59,5,True
26/08/2025 04:20,26/08/2025 05:14,11,True
26/08/2025 05:35,26/08/2025 05:59,5,True
26/08/2025 06:15,26/08/2025 06:44,6,True
26/08/2025 07:15,26/08/2025 07:39,5,True
26/08/2025 20:05,26/08/2025 20:34,6,True
26/08/2025 20:40,26/08/2025 22:54,27,True
26/08/2025 23:00,26/08/2025 23:44,9,True
26/08/2025 23:50,27/08/2025 01:19,18,True
27/08/2025 01:35,27/08/2025 02:04,6,True
27/08/2025 02:10,27/08/2025 03:09,12,True
27/08/2025 03:15,27/08/2025 04:24,14,True
27/08/2025 04:30,27/08/2025 05:29,12,True
27/08/2025 05:35,27/08/2025 05:59,5,True
27/08/2025 06:05,27/08/2025 06:44,8,True
