timestamp,temp_amb1,date (America/Sao_Paulo)
1774666739998,25.2,2026-03-27 23:58:59.998000-03:00
1774666739233,25.2,2026-03-27 23:58:59.233000-03:00
1774666729883,25.2,2026-03-27 23:58:49.883000-03:00
1774666719730,25.2,2026-03-27 23:58:39.730000-03:00
1774666719217,25.2,2026-03-27 23:58:39.217000-03:00
1774666709736,25.2,2026-03-27 23:58:29.736000-03:00
1774666699339,25.3,2026-03-27 23:58:19.339000-03:00
1774666689389,25.3,2026-03-27 23:58:09.389000-03:00
1774666679732,25.1,2026-03-27 23:57:59.732000-03:00
1774666669345,25.2,2026-03-27 23:57:49.345000-03:00
1774666659774,25.2,2026-03-27 23:57:39.774000-03:00
1774666649403,25.2,2026-03-27 23:57:29.403000-03:00
1774666639558,25.2,2026-03-27 23:57:19.558000-03:00
1774666629741,25.2,2026-03-27 23:57:09.741000-03:00
1774666619753,25.1,2026-03-27 23:56:59.753000-03:00
1774666609365,25.1,2026-03-27 23:56:49.365000-03:00
1774666599332,25.2,2026-03-27 23:56:39.332000-03:00
1774666590036,25.1,2026-03-27 23:56:30.036000-03:00
1774666579347,25.1,2026-03-27 23:56:19.347000-03:00
1774666570135,25.3,2026-03-27 23:56:10.135000-03:00
1774666560124,25.1,2026-03-27 23:56:00.124000-03:00
1774666550012,25.1,2026-03-27 23:55:50.012000-03:00
1774666539787,25.1,2026-03-27 23:55:39.787000-03:00
1774666530051,25.1,2026-03-27 23:55:30.051000-03:00
1774666529255,25.1,2026-03-27 23:55:29.255000-03:00
1774666519783,25.1,2026-03-27 23:55:19.783000-03:00
1774666509381,25.1,2026-03-27 23:55:09.381000-03:00
1774666499788,25.2,2026-03-27 23:54:59.788000-03:00
1774666489510,25.1,2026-03-27 23:54:49.510000-03:00
1774666479758,25.1,2026-03-27 23:54:39.758000-03:00
1774666469783,25.1,2026-03-27 23:54:29.783000-03:00
1774666459354,25.1,2026-03-27 23:54:19.354000-03:00
1774666449784,25.1,2026-03-27 23:54:09.784000-03:00
1774666449264,25.1,2026-03-27 23:54:09.264000-03:00
1774666439857,25.0,2026-03-27 23:53:59.857000-03:00
1774666430003,25.1,2026-03-27 23:53:50.003000-03:00
1774666429321,25.1,2026-03-27 23:53:49.321000-03:00
1774666419935,25.0,2026-03-27 23:53:39.935000-03:00
1774666419280,25.0,2026-03-27 23:53:39.280000-03:00
1774666409794,25.1,2026-03-27 23:53:29.794000-03:00
1774666409285,25.1,2026-03-27 23:53:29.285000-03:00
1774666399971,25.0,2026-03-27 23:53:19.971000-03:00
1774666390076,24.9,2026-03-27 23:53:10.076000-03:00
1774666389543,24.9,2026-03-27 23:53:09.543000-03:00
1774666379847,25.0,2026-03-27 23:52:59.847000-03:00
1774666369773,25.1,2026-03-27 23:52:49.773000-03:00
1774666359811,25.0,2026-03-27 23:52:39.811000-03:00
1774666349803,25.0,2026-03-27 23:52:29.803000-03:00
1774666340119,25.0,2026-03-27 23:52:20.119000-03:00
1774666329779,25.0,2026-03-27 23:52:09.779000-03:00
1774666319822,24.9,2026-03-27 23:51:59.822000-03:00
1774666310044,24.9,2026-03-27 23:51:50.044000-03:00
1774666299950,24.9,2026-03-27 23:51:39.950000-03:00
1774666289823,25.0,2026-03-27 23:51:29.823000-03:00
1774666279837,25.0,2026-03-27 23:51:19.837000-03:00
1774666269947,24.9,2026-03-27 23:51:09.947000-03:00
1774666259842,24.9,2026-03-27 23:50:59.842000-03:00
1774666250180,24.9,2026-03-27 23:50:50.180000-03:00
1774666239766,24.9,2026-03-27 23:50:39.766000-03:00
1774666229898,24.8,2026-03-27 23:50:29.898000-03:00
1774666220078,24.9,2026-03-27 23:50:20.078000-03:00
1774666219503,24.9,2026-03-27 23:50:19.503000-03:00
1774666209814,24.8,2026-03-27 23:50:09.814000-03:00
1774666200097,24.7,2026-03-27 23:50:00.097000-03:00
1774666190292,24.7,2026-03-27 23:49:50.292000-03:00
1774666189345,24.7,2026-03-27 23:49:49.345000-03:00
1774666180024,24.7,2026-03-27 23:49:40.024000-03:00
1774666179348,24.7,2026-03-27 23:49:39.348000-03:00
1774666169852,24.7,2026-03-27 23:49:29.852000-03:00
1774666159966,24.7,2026-03-27 23:49:19.966000-03:00
1774666149857,24.8,2026-03-27 23:49:09.857000-03:00
1774666140050,24.7,2026-03-27 23:49:00.050000-03:00
1774666139362,24.7,2026-03-27 23:48:59.362000-03:00
1774666120019,24.6,2026-03-27 23:48:40.019000-03:00
1774666109849,24.7,2026-03-27 23:48:29.849000-03:00
1774666099850,24.5,2026-03-27 23:48:19.850000-03:00
1774666089883,24.6,2026-03-27 23:48:09.883000-03:00
1774666079679,24.6,2026-03-27 23:47:59.679000-03:00
1774666069815,24.6,2026-03-27 23:47:49.815000-03:00
1774666059849,24.5,2026-03-27 23:47:39.849000-03:00
1774666049893,24.5,2026-03-27 23:47:29.893000-03:00
1774666039846,24.6,2026-03-27 23:47:19.846000-03:00
1774666029504,24.6,2026-03-27 23:47:09.504000-03:00
1774666019877,24.6,2026-03-27 23:46:59.877000-03:00
1774666009881,24.5,2026-03-27 23:46:49.881000-03:00
1774665999470,24.4,2026-03-27 23:46:39.470000-03:00
1774665989925,24.5,2026-03-27 23:46:29.925000-03:00
1774665980046,24.4,2026-03-27 23:46:20.046000-03:00
1774665969474,24.4,2026-03-27 23:46:09.474000-03:00
1774665960454,24.5,2026-03-27 23:46:00.454000-03:00
1774665959736,24.5,2026-03-27 23:45:59.736000-03:00
1774665949861,24.5,2026-03-27 23:45:49.861000-03:00
1774665939543,24.5,2026-03-27 23:45:39.543000-03:00
1774665929499,24.6,2026-03-27 23:45:29.499000-03:00
1774665919910,24.5,2026-03-27 23:45:19.910000-03:00
1774665909558,24.5,2026-03-27 23:45:09.558000-03:00
1774665899525,24.5,2026-03-27 23:44:59.525000-03:00
1774665889893,24.5,2026-03-27 23:44:49.893000-03:00
1774665879508,24.5,2026-03-27 23:44:39.508000-03:00
1774665869947,24.5,2026-03-27 23:44:29.947000-03:00
1774665859887,24.5,2026-03-27 23:44:19.887000-03:00
1774665849986,24.5,2026-03-27 23:44:09.986000-03:00
1774665840132,24.6,2026-03-27 23:44:00.132000-03:00
1774665839425,24.6,2026-03-27 23:43:59.425000-03:00
1774665829943,24.6,2026-03-27 23:43:49.943000-03:00
1774665820120,24.5,2026-03-27 23:43:40.120000-03:00
1774665819436,24.5,2026-03-27 23:43:39.436000-03:00
1774665809940,24.6,2026-03-27 23:43:29.940000-03:00
1774665799943,24.5,2026-03-27 23:43:19.943000-03:00
1774665789890,24.6,2026-03-27 23:43:09.890000-03:00
1774665780123,24.6,2026-03-27 23:43:00.123000-03:00
1774665779449,24.6,2026-03-27 23:42:59.449000-03:00
1774665769501,24.5,2026-03-27 23:42:49.501000-03:00
1774665759959,24.5,2026-03-27 23:42:39.959000-03:00
1774665749924,24.6,2026-03-27 23:42:29.924000-03:00
1774665740022,24.6,2026-03-27 23:42:20.022000-03:00
1774665739434,24.6,2026-03-27 23:42:19.434000-03:00
1774665730325,24.5,2026-03-27 23:42:10.325000-03:00
1774665729478,24.5,2026-03-27 23:42:09.478000-03:00
1774665719958,24.7,2026-03-27 23:41:59.958000-03:00
1774665699978,24.6,2026-03-27 23:41:39.978000-03:00
1774665690233,24.7,2026-03-27 23:41:30.233000-03:00
1774665679927,24.7,2026-03-27 23:41:19.927000-03:00
1774665670147,24.6,2026-03-27 23:41:10.147000-03:00
1774665659986,24.7,2026-03-27 23:40:59.986000-03:00
1774665659480,24.7,2026-03-27 23:40:59.480000-03:00
1774665649971,24.7,2026-03-27 23:40:49.971000-03:00
1774665640084,24.8,2026-03-27 23:40:40.084000-03:00
1774665630106,24.7,2026-03-27 23:40:30.106000-03:00
1774665620110,24.7,2026-03-27 23:40:20.110000-03:00
1774665619501,24.7,2026-03-27 23:40:19.501000-03:00
1774665609972,24.8,2026-03-27 23:40:09.972000-03:00
1774665600142,24.8,2026-03-27 23:40:00.142000-03:00
1774665599477,24.8,2026-03-27 23:39:59.477000-03:00
1774665589954,24.8,2026-03-27 23:39:49.954000-03:00
1774665579969,24.8,2026-03-27 23:39:39.969000-03:00
1774665570210,24.8,2026-03-27 23:39:30.210000-03:00
1774665569510,24.8,2026-03-27 23:39:29.510000-03:00
1774665560138,24.8,2026-03-27 23:39:20.138000-03:00
1774665550161,24.9,2026-03-27 23:39:10.161000-03:00
1774665549487,24.9,2026-03-27 23:39:09.487000-03:00
1774665540003,24.9,2026-03-27 23:39:00.003000-03:00
1774665539500,24.9,2026-03-27 23:38:59.500000-03:00
1774665529985,24.9,2026-03-27 23:38:49.985000-03:00
1774665520129,24.9,2026-03-27 23:38:40.129000-03:00
1774665510345,25.0,2026-03-27 23:38:30.345000-03:00
1774665509488,25.0,2026-03-27 23:38:29.488000-03:00
1774665500124,25.0,2026-03-27 23:38:20.124000-03:00
1774665489983,25.0,2026-03-27 23:38:09.983000-03:00
1774665479996,24.9,2026-03-27 23:37:59.996000-03:00
1774665469997,25.0,2026-03-27 23:37:49.997000-03:00
1774665459994,25.0,2026-03-27 23:37:39.994000-03:00
1774665449950,25.1,2026-03-27 23:37:29.950000-03:00
1774665440018,25.0,2026-03-27 23:37:20.018000-03:00
1774665430014,25.0,2026-03-27 23:37:10.014000-03:00
1774665419595,25.0,2026-03-27 23:36:59.595000-03:00
1774665410125,25.1,2026-03-27 23:36:50.125000-03:00
1774665400279,25.1,2026-03-27 23:36:40.279000-03:00
1774665390024,25.1,2026-03-27 23:36:30.024000-03:00
1774665379994,25.1,2026-03-27 23:36:19.994000-03:00
1774665369627,25.1,2026-03-27 23:36:09.627000-03:00
1774665360087,25.1,2026-03-27 23:36:00.087000-03:00
1774665349682,25.1,2026-03-27 23:35:49.682000-03:00
1774665340021,25.0,2026-03-27 23:35:40.021000-03:00
1774665330147,25.0,2026-03-27 23:35:30.147000-03:00
1774665320039,24.9,2026-03-27 23:35:20.039000-03:00
1774665310414,25.0,2026-03-27 23:35:10.414000-03:00
1774665300064,25.1,2026-03-27 23:35:00.064000-03:00
1774665290057,25.1,2026-03-27 23:34:50.057000-03:00
1774665280209,25.1,2026-03-27 23:34:40.209000-03:00
1774665269675,25.1,2026-03-27 23:34:29.675000-03:00
1774665260092,25.2,2026-03-27 23:34:20.092000-03:00
1774665250211,25.1,2026-03-27 23:34:10.211000-03:00
1774665249555,25.1,2026-03-27 23:34:09.555000-03:00
1774665240205,25.2,2026-03-27 23:34:00.205000-03:00
1774665239568,25.2,2026-03-27 23:33:59.568000-03:00
1774665230067,25.0,2026-03-27 23:33:50.067000-03:00
1774665220281,25.0,2026-03-27 23:33:40.281000-03:00
1774665219561,25.0,2026-03-27 23:33:39.561000-03:00
1774665210057,25.0,2026-03-27 23:33:30.057000-03:00
1774665200127,25.1,2026-03-27 23:33:20.127000-03:00
1774665199563,25.1,2026-03-27 23:33:19.563000-03:00
1774665190064,25.0,2026-03-27 23:33:10.064000-03:00
1774665179789,25.1,2026-03-27 23:32:59.789000-03:00
1774665169748,25.2,2026-03-27 23:32:49.748000-03:00
1774665160188,25.0,2026-03-27 23:32:40.188000-03:00
1774665159570,25.0,2026-03-27 23:32:39.570000-03:00
1774665140110,25.1,2026-03-27 23:32:20.110000-03:00
1774665130088,25.1,2026-03-27 23:32:10.088000-03:00
1774665120110,25.1,2026-03-27 23:32:00.110000-03:00
1774665110207,25.0,2026-03-27 23:31:50.207000-03:00
1774665109617,25.0,2026-03-27 23:31:49.617000-03:00
1774665100056,25.1,2026-03-27 23:31:40.056000-03:00
1774665090084,25.1,2026-03-27 23:31:30.084000-03:00
1774665079681,25.1,2026-03-27 23:31:19.681000-03:00
1774665070320,25.0,2026-03-27 23:31:10.320000-03:00
1774665060077,25.1,2026-03-27 23:31:00.077000-03:00
1774665050100,25.0,2026-03-27 23:30:50.100000-03:00
1774665040311,25.0,2026-03-27 23:30:40.311000-03:00
1774665030149,25.0,2026-03-27 23:30:30.149000-03:00
1774665020079,25.1,2026-03-27 23:30:20.079000-03:00
1774665010106,25.0,2026-03-27 23:30:10.106000-03:00
1774665000141,25.0,2026-03-27 23:30:00.141000-03:00
1774664989718,25.0,2026-03-27 23:29:49.718000-03:00
1774664980092,25.0,2026-03-27 23:29:40.092000-03:00
1774664970087,25.0,2026-03-27 23:29:30.087000-03:00
1774664960239,25.1,2026-03-27 23:29:20.239000-03:00
1774664950137,25.1,2026-03-27 23:29:10.137000-03:00
1774664940115,25.0,2026-03-27 23:29:00.115000-03:00
