inicio_desconexao,fim_desconexao,duracao_minutos,periodo_critico_20h_08h
26/03/2026 15:35,26/03/2026 16:54,16,False
26/03/2026 17:00,26/03/2026 17:34,7,False
26/03/2026 17:40,26/03/2026 19:14,19,False
28/03/2026 06:55,28/03/2026 11:39,57,True
28/03/2026 15:05,28/03/2026 15:29,5,False
28/03/2026 15:35,28/03/2026 20:04,54,True
28/03/2026 20:30,28/03/2026 23:14,33,True
28/03/2026 23:30,29/03/2026 04:04,55,True
29/03/2026 07:50,29/03/2026 12:29,56,True
29/03/2026 16:10,29/03/2026 19:44,43,False
29/03/2026 23:50,30/03/2026 03:49,48,True
30/03/2026 03:55,30/03/2026 04:59,13,True
30/03/2026 08:10,30/03/2026 13:24,63,False
30/03/2026 17:15,30/03/2026 21:34,52,True
31/03/2026 04:30,31/03/2026 05:19,10,True
31/03/2026 06:35,31/03/2026 08:19,21,True
31/03/2026 16:55,31/03/2026 21:49,59,True
01/04/2026 05:05,01/04/2026 06:14,14,True
01/04/2026 17:30,01/04/2026 18:29,12,False
01/04/2026 22:25,01/04/2026 23:34,14,True
02/04/2026 19:10,02/04/2026 19:39,6,False
04/04/2026 06:50,04/04/2026 11:54,61,True
04/04/2026 14:55,04/04/2026 15:24,6,False
05/04/2026 22:00,05/04/2026 23:55,24,True
