variavel,dia,total_minutos_esperados,minutos_com_dado,minutos_sem_dado,percentual_conectado,percentual_desconectado,quantidade_desconexoes_gt_20min,menor_desconexao_min,maior_desconexao_min,media_desconexao_min,tempo_total_desconectado_min,desconexoes_no_periodo_critico_20h_08h
balcao_congelado_calibrado,01/04/2026,288,248,40,86.11,13.89,3,12.0,14.0,13.33,40.0,2
balcao_congelado_calibrado,02/04/2026,288,274,14,95.14,4.86,1,6.0,6.0,6.0,6.0,0
balcao_congelado_calibrado,03/04/2026,288,285,3,98.96,1.04,0,0.0,0.0,0.0,0.0,0
balcao_congelado_calibrado,04/04/2026,288,221,67,76.74,23.26,2,6.0,61.0,33.5,67.0,1
balcao_congelado_calibrado,05/04/2026,288,264,24,91.67,8.33,1,24.0,24.0,24.0,24.0,1
balcao_congelado_calibrado,26/03/2026,288,246,42,85.42,14.58,3,7.0,19.0,14.0,42.0,0
balcao_congelado_calibrado,27/03/2026,288,281,7,97.57,2.43,0,0.0,0.0,0.0,0.0,0
balcao_congelado_calibrado,28/03/2026,288,130,158,45.14,54.86,5,5.0,57.0,40.8,204.0,4
balcao_congelado_calibrado,29/03/2026,288,137,151,47.57,52.43,4,43.0,56.0,50.5,202.0,3
balcao_congelado_calibrado,30/03/2026,288,114,174,39.58,60.42,4,13.0,63.0,44.0,176.0,3
balcao_congelado_calibrado,31/03/2026,288,197,91,68.4,31.6,3,10.0,59.0,30.0,90.0,3
